id;nom;type;sous_type;masse_volumique_kg_m3;conductivite_w_mk;capacite_thermique_j_kgk;resistance_compression_mpa;module_young_gpa;resistance_traction_mpa;permeabilite_vapeur_mu;porosite_pct;reaction_feu_classe_euro;origine;contenu_recycle_pct;energie_grise_mj_kg;empreinte_carbone_kgco2e_kg;domaine_application;cout_eur_m2;fabricant;pays_origine;recyclable;durabilite_ans;sources;description;image_url
1;Acier;Métallique;Acier de construction;7850;45;500;250;210;400;1000;0;A1;Synthétique;90;25;2,1;Structures, charpentes métalliques, ponts;50;;Monde entier;Oui;100;Fiches techniques matériaux, CSTB;Alliage fer-carbone très résistant, ductile, recyclable.;
2;Béton précontraint;Minéral;Béton armé;2400;1,75;880;40;30;3,5;80;10;A1;Synthétique;10;1,1;0,16;Ponts, dalles, bâtiments, ouvrages d’art;45;;France;Partiel;80;CSTB, Ecoinvent;Béton comprimé par câbles pour limiter la fissuration et augmenter les portées.;
3;Bois massif;Naturel;Résineux;650;0,13;1600;35;11;90;50;60;D-s2,d0;Naturelle;0;2,3;-1,8;Structure, charpente, planchers, menuiserie;35;;France, Europe;Oui;60;Base INIES, FCBA;Matériau biosourcé renouvelable, isolant et esthétique.;
4;Aérogel de silice;Isolant;Nanostructuré;100;0,015;800;1;0,02;0,1;10;90;A2;Synthétique;0;60;2,5;Isolation thermique haute performance, vitrages;120;;UE;Oui;30;Fiches techniques fabricants;Isolant nanoporeux ultra-léger, conductivité très faible, ininflammable.;
5;Verre;Minéral;Verre float;2500;1;750;1000;70;50;10000;0;A1;Synthétique;25;15;1,2;Vitrages, façades, isolants, revêtements;70;;Europe;Oui;50;INIES, Saint-Gobain;Matériau translucide et rigide utilisé pour les vitrages et parois.;
6;adjuvant;Chimique;Plastifiants, superplastifiants, accélérrateures, retardateur,entraineur d'air..;;;;;;;;;;Sybthétique;;;;Modification des propriétés du béton frais et durci (ouvrabilité, temps de prise, durabilité, perméabilité, etc.).;;Sika, Chryso, Mapei;Monde entier;Non concerné;;;Produits chimiques ajoutés en faible quantité au béton pour améliorer l’ouvrabilité, contrôler la prise, réduire l’eau, améliorer les résistances et la durabilité (superplastifiants, accélérateurs, retardateurs, entraîneurs d’air, hydrofuges…);
7;verre photochromique;Minéral;Vitrage photochromique Ag⁺ / halogénures;2500;0,8-1,1;750;1000;60-70;50;10000;0;A1;Synthétique;25;150-180;;Vitrages intelligents pour façades, bureaux, atriums, automobile, lunettes adaptatives.;300-450;NSG Group (ex : Silverlite™);Europe;Partiel;30;Vitrage dont la teinte varie automatiquement sous l’effet des UV. Réduit les apports solaires, améliore le confort visuel, diminue les besoins de climatisation (−35 à −45 % selon la simulation).;;
8;ouate de cellulose;Isolant biosourcé;Fibre de papier recyclé;40;0,039;2100;;;;2;90;B-s2,d0;Naturelle / recyclée;95;45;-1,4;"Isolation thermique et acoustique des combles, murs, planchers ; maisons bois, rénovation, bâtiments RE2020.";20;socell, Soprema;France/Europe;Oui;50;FDES INIES;Isolant biosourcé issu de papier recyclé, très bonne isolation thermique (λ ≈ 0,039 W/m·K), forte capacité thermique (c ≈ 2100 J/kg·K), excellente régulation hygrométrique et très faible empreinte carbone.;
9;béton auto cictraisant;minéral;Béton bacterien auto-réparant;2400;1,75;880;45;30;3,5;80;10;A1;Synthétique;10;1,2;0,18;Ouvrages durables (ponts, tunnels, structures marines, dalles fortement fissurées) où la réduction des fissures et des réparations est recherchée.;70;;Europe;Partiel;100;refs Jonkers;Béton contenant des bactéries et nutriments encapsulés. Lorsqu’une fissure se forme et que l’eau pénètre, les bactéries précipitent du carbonate de calcium qui colmate les fissures, réduisant la perméabilité et augmentant la durabilité.;
10;PVC;Synthétique;Polymère thermoplastique;1350;0,19;900;—;3;40–55;15000;<5;B–D;Pétrochimie;0–30;70–100;2.5–3;Canalisations, menuiseries;1.2–2/kg;Alfaflex,CENIT Pipe;Monde;Oui;50;Fiches techniques et bases de données matériaux (propriétés mécaniques, densité, conductivité, résistance;Plastique rigide;
11;Terre crue;Naturel;Adobe / BTC;1700–2000;0.7–1.0;1000;2–5;0.1–1;faible;5–10;25–45;A1;Sol naturel;0;0.3–1;0.02–0.1;Murs, remplissages;50–200/m³;;Local;Oui;100;Revues et études expérimentales compilant conductivité, capacité thermique, porosité et résistance.;Matériau bas carbone;
12;béton lamellé croisé;Composite;CLT;450;0.12;1600;20–35;10–13;8–12;40–60;50–70;D;Bois;0–60;2.1;-0.5–0.1;Planchers, murs;350–500/m³;Schilliger Holz AG, Stora Enso, ;EU/Canada;Oui;80;Brochures techniques et manuels (valeurs typiques de densité, module et comportement structural;Bois massif lamellé;
