id;nom;type;sous_type;masse_volumique_kg_m3;conductivite_w_mk;capacite_thermique_j_kgk;resistance_compression_mpa;module_young_gpa;resistance_traction_mpa;permeabilite_vapeur_mu;porosite_pct;reaction_feu_classe_euro;origine;contenu_recycle_pct;energie_grise_mj_kg;empreinte_carbone_kgco2e_kg;domaine_application;cout_eur_m2;fabricant;pays_origine;recyclable;durabilite_ans;sources;description;image_url
1;Acier;Métal;Métal ferreux;7850;45;500;250;210;400;1000;0;A1;Synthétique;90;25;2,1;Structures, charpentes métalliques, ponts;50;;Monde entier;Oui;100;Fiches techniques matériaux, CSTB;Alliage fer-carbone très résistant, ductile, recyclable.;URL d'Image Directe (Fiable)
2;Béton précontraint;Minéral;Béton cimentaire;2400;1,75;880;40;30;3,5;80;10;A1;Synthétique;10;1,1;0,16;Ponts, dalles, bâtiments, ouvrages d’art;45;;France;Partiel;80;CSTB, Ecoinvent;Béton comprimé par câbles pour limiter la fissuration et augmenter les portées.;https://images.unsplash.com/photo-1549419137-b453e9619199?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
3;Bois massif;Biosourcé;Bois structurel;650;0,13;1600;35;11;90;50;60;D-s2,d0;Naturelle;0;2,3;-1,8;Structure, charpente, planchers, menuiserie;35;;France, Europe;Oui;60;Base INIES, FCBA;Matériau biosourcé renouvelable, isolant et esthétique.;https://upload.wikimedia.org/wikipedia/commons/e/ea/Pre-stressed_concrete_beam_detail.jpg
4;Aérogel de silice;Minéral;Isolant minéral;100;0,015;800;1;0,02;0,1;10;90;A2;Synthétique;0;60;2,5;Isolation thermique haute performance, vitrages;120;;UE;Oui;30;Fiches techniques fabricants;Isolant nanoporeux ultra-léger, conductivité très faible, ininflammable.;https://images.unsplash.com/photo-1547385419-f55e09210c85?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
5;Verre;Minéral;Verre traditionnel;2500;1;750;1000;70;50;10000;0;A1;Synthétique;25;15;1,2;Vitrages, façades, isolants, revêtements;70;;Europe;Oui;50;INIES, Saint-Gobain;Matériau translucide et rigide utilisé pour les vitrages et parois.;https://images.unsplash.com/photo-1582234372722-526b15a6b097?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
6;adjuvant;Additif;Additif chimique;;;;;;;;;;Sybthétique;;;;Modification des propriétés du béton frais et durci (ouvrabilité, temps de prise, durabilité, perméabilité, etc.).;;Sika, Chryso, Mapei;Monde entier;Non concerné;;;Produits chimiques ajoutés en faible quantité au béton pour améliorer l’ouvrabilité, contrôler la prise, réduire l’eau, améliorer les résistances et la durabilité (superplastifiants, accélérateurs, retardateurs, entraîneurs d’air, hydrofuges…);https://images.unsplash.com/photo-1594220300898-d14251144083?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
7;verre photochromique;Minéral;Verre fonctionnel;2500;0,8-1,1;750;1000;60-70;50;10000;0;A1;Synthétique;25;150-180;;Vitrages intelligents pour façades, bureaux, atriums, automobile, lunettes adaptatives.;300-450;NSG Group (ex : Silverlite™);Europe;Partiel;30;Vitrage dont la teinte varie automatiquement sous l’effet des UV. Réduit les apports solaires, améliore le confort visuel, diminue les besoins de climatisation (−35 à −45 % selon la simulation).;;https://images.unsplash.com/photo-1595180470659-635b7190f842?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
8;ouate de cellulose;Biosourcé;Isolant biosourcé ;40;0,039;2100;;;;2;90;B-s2,d0;Naturelle / recyclée;95;45;-1,4;"Isolation thermique et acoustique des combles, murs, planchers ; maisons bois, rénovation, bâtiments RE2020.";20;socell, Soprema;France/Europe;Oui;50;FDES INIES;Isolant biosourcé issu de papier recyclé, très bonne isolation thermique (λ ≈ 0,039 W/m·K), forte capacité thermique (c ≈ 2100 J/kg·K), excellente régulation hygrométrique et très faible empreinte carbone.;https://images.unsplash.com/photo-1628100650917-a169b50b9042?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
9;béton auto cictraisant;minéral;Béton cimentaire;2400;1,75;880;45;30;3,5;80;10;A1;Synthétique;10;1,2;0,18;Ouvrages durables (ponts, tunnels, structures marines, dalles fortement fissurées) où la réduction des fissures et des réparations est recherchée.;70;;Europe;Partiel;100;refs Jonkers;Béton contenant des bactéries et nutriments encapsulés. Lorsqu’une fissure se forme et que l’eau pénètre, les bactéries précipitent du carbonate de calcium qui colmate les fissures, réduisant la perméabilité et augmentant la durabilité.;https://images.unsplash.com/photo-1607513511854-46c5963955ce?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
10;PVC;Polymère;Thermoplastique;1350;0,19;900;—;3;40–55;15000;<5;B–D;Pétrochimie;0–30;70–100;2.5–3;Canalisations, menuiseries;1.2–2/kg;Alfaflex,CENIT Pipe;Monde;Oui;50;Fiches techniques et bases de données matériaux (propriétés mécaniques, densité, conductivité, résistance;Plastique rigide;https://images.unsplash.com/photo-1634938676231-155452d11345?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
11;Terre crue;Minéral naturel;Tere bâtie;1700–2000;0.7–1.0;1000;2–5;0.1–1;faible;5–10;25–45;A1;Sol naturel;0;0.3–1;0.02–0.1;Murs, remplissages;50–200/m³;;Local;Oui;100;Revues et études expérimentales compilant conductivité, capacité thermique, porosité et résistance.;Matériau bas carbone;https://images.unsplash.com/photo-1627945650393-4a18d1d80c3b?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
12;Bois lamellé croisé;Biosourcé;Bois structuel reconstitué;450;0.12;1600;20–35;10–13;8–12;40–60;50–70;D;Bois;0–60;2.1;-0.5–0.1;Planchers, murs;350–500/m³;Schilliger Holz AG, Stora Enso, ;EU/Canada;Oui;80;Brochures techniques et manuels (valeurs typiques de densité, module et comportement structural;Bois massif lamellé;https://images.unsplash.com/photo-1595827361413-644917a86c60?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
13;béton cellulaire;Minéral;Béton léger;300–700;0.09–0.16;1000;2–7;1–3;—;5–10;60–80;A1;Sable+chaux;0–20;3–5;0.15–0.3;Blocs isolants;70–120/m³;;Europe;Oui;80;Fiches techniques fabricants et revues (densité, conductivité thermique, résistance;Béton léger isolant;https://images.unsplash.com/photo-1571520638575-fa52e505ed62?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
14;airium;Minéral;Isolant minéral;70–300;0.028–0.065;1000;non structural;—;—;5;70–90;A1;Ciment+mousse;0;1–3;0.05–0.1;Isolation, remplissage;150–300/m³;Lafarge / Holcim;EU;Oui;80;Fiche produit / brochure Airium : densités réglables, λ, euroclasse, perméabilité, données énergie grise / CO₂;Béton mousse;https://images.unsplash.com/photo-1638202927233-a3d132386120?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
15;bambou;Biosourcé;Ressource végétale;600–900;0.2;1200;40–80;10–20;120–250;2–5;50–70;D;Plante;100;2–5;très faible;Structures;3–6/m;;Asie;Oui;25;Revues scientifiques sur propriétés mécaniques (tensile, module, densité) et synthèses.;Fibre résistante;https://images.unsplash.com/photo-1616421921477-74220b33c5e8?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
16;titane;Métal;Métal  non ferreux;4500;17;520;900–1100;100–120;800–900;étanche;<1;A1;Minerai;0–40;400–700;30;Aérospatial;25–50/kg;Aubert & Duval, WS Titanium;Monde;Oui;100;Fiches matériaux (MatWeb / ASM) et brochures industrielles (résistances, module, densité;Métal très performant;https://images.unsplash.com/photo-1620138546114-118c7c10b028?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
17;tuf volcanique;Roche naturelle;Roche volcanique;1000–1800;0.2–0.7;850;5–15;5–15;—;10;20–40;A1;Roche;0;0.3;0.05;Maçonnerie;80–150/m³;;Volcans;Oui;200;Etudes sur propriétés physiques/mécaniques des tufs (porosité, densité, conductivité;Pierre légère;https://images.unsplash.com/photo-1649931758245-73891465e940?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
18;béton leger;Minéral;Béton léger;800–1800;0.2–0.6;900;10–40;8–20;—;10–15;20–35;A1;Ciment+granulats;0–20;2–4;0.15–0.3;Murs, dalles;90–200/m³;;Monde;Oui;100;Articles et fiches techniques sur bétons allégés (densité, résistance, conductivité;Béton allégé;https://images.unsplash.com/photo-1607613768853-2d08a946b2b7?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
19;Béton armé;Minéral;Béton cimentaire;2500;2,5;900 à 1000;50;40;5;1000;18;A1;Synthétique;30;2,5;0,13;Ponts, dalles, bâtiments, ouvrages d’art;80;laboratoires;France;Partiel;80;NF EN 206;doser et mélanger les matériaux, plaçer les armatures et laisser durcir le béton avec finition.;https://images.unsplash.com/photo-1549449339-be97b5e40698?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
20;La brique;Naturel;Terre cuite;2200;1,2;900; 6.8;2,5;1;10;35;A1;Synthétique;30;1;0,1;bâtiments, ouvrages d’art;120;;France;oui;100;Guides APTE, fiche technique;Mélanger terre et stabilisant, compresser dans un moule, démouler, sécher et stocker.;https://images.unsplash.com/photo-1618218179294-81781423405c?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
21;La laine Naturelle;Biosourcé;Isolant biosourcé ;40;0,045;1800;0,5;0,01;0,2;20;90;B‑s1, d0 ou A2‑s1;naturelle;15;0,6;0,06;Isolation thermique de murs, toitures, combles, doublages;40;Biofib;Europe;oui;45;CSTB, fiches techniques;Découper ou dérouler l’isolant selon l’épaisseur et la surface à couvrir, puis le placer entre les structures porteuses;https://images.unsplash.com/photo-1611090150965-0a8a65f144d8?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
22;Panneau de fibres de bois;Biosourcé;Isolant biosourcé ;800;250;2100;0,1;0,2;0,5;5;90;Classe E;naturelle;20;3;0,15;Isolation thermique des murs, toitures, sols, ITE.;45;STEICO;Europe;oui;50;CSTB, fiches techniques fabricants;poser les panneaux entre les structures porteuses et ajuster pour assurer continuité et absence de ponts thermiques.;https://images.unsplash.com/photo-1596798020521-0a6b7d38e217?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
23;Panneau structurant isolant;Composite;Isolant composite ;250;0,03;1600;0,4;5;0,4;200;95;Classe E/D-s2,d0;Synthétique;10;15;0,6;Parement de Finition Intérieur;80;Kingspan, Enercept;canada, UK;OUI;100;CSTB, ACERMI, AFNOR;Créer noyau isolant, ajouter parements, coller, presser, tailler, contrôler.;https://images.unsplash.com/photo-1591871275218-e3258c735d47?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
24;Céramique;Minéral;Produit cuits;2600;1,3;1100;200;120;30;200;20;A1;naturelle;30;7;0,45;Équipements techniques;50;Wienerberger, Terreal;Italie,chine,France;partiel;100;EN 14617;Façonner argile, sécher, cuire, émailler, contrôler, emballer, livrer.;https://images.unsplash.com/photo-1600880292203-9d11a54124c1?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
25;Platre;Minéral;Liant minéral;1200;0,25;1100;15;5;3;15;60;;Synthétique;30;1,5;0,15;Enduits et finitions murales;25;Placoplatre, Lafarge;Europe;partiel;50;marquage CE;Extraire gypse, broyer, chauffer, moudre, mélanger, mouler, sécher, emballer.;https://images.unsplash.com/photo-1618218179294-81781423405c?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
26;Béton GBR;Minéral;Béton recyclé;2400;1,8;1000;25-120;35;5;50;15;A1;Synthétique;95;1,5;0,4;Dallage, fondations, murs, routes, ouvrage;60;Solidia, Zeobond;Allemagne,France,Usa;oui;100;NF P 18-545;Trier concasser béton ajouter liant mélanger couler vibrer durcir.;https://images.unsplash.com/photo-1618218179294-81781423405c?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
27;Ciment Géopolymère;Minéral;Liant minéral;2200;1,2;1000;30-120;35;8;60;20;A2;Synthétique;40;1,5;0,2;routes, pavés, bordures, ouvrages à faible impact carbone;150;Lafarge (R&D géopolymères);Allemagne, USA;oui;100;EN 13813;Mélanger aluminosilicates, ajouter alcalins, couler, laisser réagir et durcir;https://images.unsplash.com/photo-1555700810-53900223788a?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max
