id;nom;type;sous_type;masse_volumique_kg_m3;conductivite_w_mk;capacite_thermique_j_kgk;resistance_compression_mpa;module_young_gpa;resistance_traction_mpa;permeabilite_vapeur_mu;porosite_pct;reaction_feu_classe_euro;origine;contenu_recycle_pct;energie_grise_mj_kg;empreinte_carbone_kgco2e_kg;domaine_application;cout_eur_m2;fabricant;pays_origine;recyclable;durabilite_ans;sources;description;image_url;Unnamed: 26;Unnamed: 27;Unnamed: 28
1;Acier;Métal;Métal ferreux;7850.0;45.0;500.0;250.0;210.0;400.0;1000.0;0.0;A1;Synthétique;90.0;25.0;2.1;Structures, charpentes métalliques, ponts;50.0;;Monde entier;Oui;100.0;Fiches techniques matériaux, CSTB;Alliage fer-carbone très résistant, ductile, recyclable.;https://upload.wikimedia.org/wikipedia/commons/e/e4/Kaltbandcoils.jpg;;;
2;Béton précontraint;Minéral;Béton cimentaire;2400.0;1.75;880.0;40.0;30.0;3.5;80.0;10.0;A1;Synthétique;10.0;1.1;0.16;Ponts, dalles, bâtiments, ouvrages d’art;45.0;;France;Partiel;80.0;CSTB, Ecoinvent;Béton comprimé par câbles pour limiter la fissuration et augmenter les portées.;https://images.unsplash.com/photo-1549419137-b453e9619199?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
3;Bois massif;Biosourcé;Bois structurel;650.0;0.13;1600.0;35.0;11.0;90.0;50.0;60.0;D-s2,d0;Naturelle;0.0;2.3;-1.8;Structure, charpente, planchers, menuiserie;35.0;;France, Europe;Oui;60.0;Base INIES, FCBA;Matériau biosourcé renouvelable, isolant et esthétique.;https://upload.wikimedia.org/wikipedia/commons/e/ea/Pre-stressed_concrete_beam_detail.jpg;;;
4;Aérogel de silice;Minéral;Isolant minéral;100.0;0.015;800.0;1.0;0.02;0.1;10.0;90.0;A2;Synthétique;0.0;60.0;2.5;Isolation thermique haute performance, vitrages;120.0;;UE;Oui;30.0;Fiches techniques fabricants;Isolant nanoporeux ultra-léger, conductivité très faible, ininflammable.;https://images.unsplash.com/photo-1547385419-f55e09210c85?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
5;Verre;Minéral;Verre traditionnel;2500.0;1.0;750.0;1000.0;70.0;50.0;10000.0;0.0;A1;Synthétique;25.0;15.0;1.2;Vitrages, façades, isolants, revêtements;70.0;;Europe;Oui;50.0;INIES, Saint-Gobain;Matériau translucide et rigide utilisé pour les vitrages et parois.;https://images.unsplash.com/photo-1582234372722-526b15a6b097?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
6;adjuvant;Additif;Additif chimique;1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;;Sybthétique;31.9;23.96;1.68;Modification des propriétés du béton frais et durci (ouvrabilité, temps de prise, durabilité, perméabilité, etc.).;44.75;Sika, Chryso, Mapei;Monde entier;Non concerné;76.0;;Produits chimiques ajoutés en faible quantité au béton pour améliorer l’ouvrabilité, contrôler la prise, réduire l’eau, améliorer les résistances et la durabilité (superplastifiants, accélérateurs, retardateurs, entraîneurs d’air, hydrofuges…);https://images.unsplash.com/photo-1594220300898-d14251144083?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
7;verre photochromique;Minéral;Verre fonctionnel;2500.0;0.997;750.0;1000.0;30.25;50.0;10000.0;0.0;A1;Synthétique;25.0;9.51;0.61;Vitrages intelligents pour façades, bureaux, atriums, automobile, lunettes adaptatives.;55.77;NSG Group (ex : Silverlite™);Europe;Partiel;30.0;Vitrage dont la teinte varie automatiquement sous l’effet des UV. Réduit les apports solaires, améliore le confort visuel, diminue les besoins de climatisation (−35 à −45 % selon la simulation).;;https://images.unsplash.com/photo-1595180470659-635b7190f842?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
8;ouate de cellulose;Biosourcé;Isolant biosourcé;40.0;0.039;2100.0;0.3;0.1;0.35;2.0;90.0;B-s2,d0;Naturelle / recyclée;95.0;45.0;-1.4;"Isolation thermique et acoustique des combles, murs, planchers ; maisons bois, rénovation, bâtiments RE2020.";20.0;socell, Soprema;France/Europe;Oui;50.0;FDES INIES;Isolant biosourcé issu de papier recyclé, très bonne isolation thermique (λ ≈ 0,039 W/m·K), forte capacité thermique (c ≈ 2100 J/kg·K), excellente régulation hygrométrique et très faible empreinte carbone.;https://images.unsplash.com/photo-1628100650917-a169b50b9042?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
9;béton auto cictraisant;minéral;Béton cimentaire;2400.0;1.75;880.0;45.0;30.0;3.5;80.0;10.0;A1;Synthétique;10.0;1.2;0.18;Ouvrages durables (ponts, tunnels, structures marines, dalles fortement fissurées) où la réduction des fissures et des réparations est recherchée.;70.0;;Europe;Partiel;100.0;refs Jonkers;Béton contenant des bactéries et nutriments encapsulés. Lorsqu’une fissure se forme et que l’eau pénètre, les bactéries précipitent du carbonate de calcium qui colmate les fissures, réduisant la perméabilité et augmentant la durabilité.;https://images.unsplash.com/photo-1607513511854-46c5963955ce?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
10;PVC;Polymère;Thermoplastique;1350.0;0.19;900.0;105.99;3.0;39.22;15000.0;48.5;B–D;Pétrochimie;31.9;23.96;1.68;Canalisations, menuiseries;44.75;Alfaflex,CENIT Pipe;Monde;Oui;50.0;Fiches techniques et bases de données matériaux (propriétés mécaniques, densité, conductivité, résistance;Plastique rigide;https://images.unsplash.com/photo-1634938676231-155452d11345?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
